1,Robert De Niro,USA
2,Javier Corcuera,ESP
3,J. J. Abrams,USA
4,Tengiz Abuladze,GEO
5,Andrew Adamson,NZL
6,Herbert Achternbusch,RFA
7,Percy Adlon,GER
8,Alejandro Agresti,ARG
9,Alexandre Aja,FRA
10,Chantal Akerman,BEL
11,Fatih Akin,GER
12,Moustapha Akkad,SYR
13,Robert Aldrich,USA
14,Tomás Gutiérrez Alea,CUB
15,Marc Allégret,SWI
16,Yves Allégret,FRA
17,Irwin Allen,USA
18,Lewis Allen,UK
19,Woody Allen,USA
20,Juan Cruz,ESP
21,Pedro Almodóvar,ESP
22,Robert Altman,USA
23,Gianni Amelio,ITA
24,Alejandro Amenábar,ESP
25,Lindsay Anderson,UK
26,Zack Snyder,USA
27,Paul Thomas Anderson,USA
28,Roy Andersson,SWE
29,Wes Anderson,USA
30,Kostas Andritsos,GRE
31,Theo Angelopoulos,GRE
32,Kenneth Anger,USA
33,Jean-Jacques Annaud,FRA
34,Threes Anna,HOL
35,Hideaki Anno,JAP
36,Arnold Antonin,HAI
37,Juan Antonio Bayona,ESP
38,Michelangelo Antonioni,ITA
39,Judd Apatow,USA
40,Michael Apted,USA
41,Alfonso Arau,MEX
42,Denys Arcand,CAN
43,Jane Arden,UK
44,Asia Argento,ITA
45,Dario Argento,ITA
46,Gillian Armstrong,AUS
47,Andrea Arnold,UK
48,Jack Arnold,USA
49,Darren Aronofsky,USA
50,Fernando Arrabal,ESP
51,Miguel Arteta,PUR
52,Dorothy Arzner,USA
53,Hal Ashby,USA
54,Anthony Asquith,UK
55,Carlos Atanes,ESP
56,Richard Attenborough,UK
57,Jacques Audiard,FRA
58,Bille August,DAN
59,Claude Autant-Lara,FRA
60,Roger Avary,CAN
61,Pupi Avati,ITA
62,Tex Avery,USA
63,John G. Avildsen,USA
64,Nabil Ayouch,FRA
65,Hector Babenco,BRA
66,Lloyd Bacon,USA
67,John Badham,USA
68,Bae Yong-Kyun,KOR
69,King Baggot,USA
70,Roy Ward Baker,UK
71,Mohammad Bakri,ISR
72,Ralph Bakshi,USA
73,Aleksei Balabanov,RUS
74,Carroll Ballard,USA
75,Clive Barker,UK
76,Tom Barman,BEL
77,Boris Barnet,RUS
78,Matthew Barney,USA
79,Mario Bava,ITA
80,Michael Bay,USA
81,Kidist Bayelegne,ETI
82,Warren Beatty,USA
83,Jacques Becker,FRA
84,Wolfgang Becker,GER
85,Jean-Jacques Beineix,FRA
86,Marco Bellocchio,ITA
87,Maria Luisa Bemberg,ARG
88,László Benedek,HUN
89,Shyam Benegal,IND
90,Roberto Benigni,ITA
91,Robert Benton,USA
92,Bruce Beresford,AUS
93,Ingmar Bergman,SWE
94,Busby Berkeley,USA
95,Luis Garcia Berlanga,ESP
96,Ishmael Bernal,PHI
97,Curtis Bernhardt,GER
98,Claude Berri,FRA
99,Bernardo Bertolucci,ITA
100,Luc Besson,FRA
101,Frank Beyer,GER
102,Susanne Bier,DEN
103,Fabián Bielinsky,ARG
104,Kathryn Bigelow,USA
105,Brad Bird,USA
106,Alice Guy-Blaché,FRA
107,Nicola Black,UK
108,Alessandro Blasetti,ITA
109,Bertrand Blier,FRA
110,Don Bluth,USA
111,Budd Boetticher,USA
112,Peter Bogdanovich,USA
113,Richard Boleslawski,POL
114,Mauro Bolognini,ITA
115,Fyodor Bondarchuk,RUS
116,Sergei Bondarchuk,RUS
117,Bong Joon-ho,KOR
118,Jan De Bont,HOL
119,John Boorman,USA
120,Frank Borzage,USA
121,John and Roy Boulting,UK
122,Danny Boyle,UK
123,Stan Brakhage,USA
124,Kenneth Branagh,UK
125,Catherine Breillat,FRA
126,Robert Bresson,FRA
127,Vinko Brešan,CRO
128,Martin Brest,USA
129,Lino Brocka,PHI
130,Peter Brook,UK
131,Albert Brooks,USA
132,James L. Brooks,USA
133,Mel Brooks,USA
134,Richard Brooks,USA
135,Nick Broomfield,UK
136,James Broughton,USA
137,Clarence Brown,USA
138,Tod Browning,USA
139,Detlev Buck,GER
140,Jan Bucquoy,BEL
141,Andrew Bujalski,POL
142,Luis Buñuel,ESP
143,Charles Burnett,USA
144,Edward Burns,USA
145,Tim Burton,USA
146,Jörg Buttgereit,GER
147,Jeff Celentano,USA
148,Enrique Carreras,PER
149,Michael Cacoyannis,CYP
150,Israel Adrián Caetano,URU
151,James Cameron,USA
152,Donald Cammell,UK
153,Juan José Campanella,ARG
154,Martin Campbell,NZL
155,Jane Campion,NZL
156,Mihalis Kakogiannis,CYP
157,Frank Capra,USA
158,Leos Carax,FRA
159,Marcel Carné,FRA
160,Niki Caro,NZL
161,John Carpenter,USA
162,D.J. Caruso,USA
163,John Cassavetes,USA
164,Nick Cassavetes,USA
165,William Castle,USA
166,André Cayatte,FRA
167,Nuri Bilge Ceylan,TUR
168,Claude Chabrol,FRA
169,Youssef Chahine,EGY
170,Jackie Chan,HKG
171,Charlie Chaplin,USA
172,Kaige Chen,CHI
173,Abigail Child,USA
174,Samson Chiu,HKG
175,Yash Chopra,IND
176,Chor Yuen,HKG
177,Stephen Chow,HKG
178,Benjamin Christensen,DEN
179,Christian-Jaque,FRA
180,Grigori Chukhrai,RUS
181,Peter Chung,USA
182,Věra Chytilová,CHE
183,Michael Cimino,USA
184,Souleymane Cissé,MLI
185,René Clair,FRA
186,Bob Clark,USA
187,Larry Clark,USA
188,Jack Clayton,UK
189,René Clément,FRA
190,George Clooney,USA
191,Henri-Georges Clouzot,FRA
192,Enrico Cocozza,UK
193,Jean Cocteau,FRA
194,Joel Coen,USA
195,Larry Cohen,USA
196,Keri Collins,UK
197,Jaime Rosales,ESP
198,Chris Columbus,USA
199,Luigi Comencini,ITA
200,Bill Condon,USA
201,Bruce Conner,USA
202,Jack Conway,USA
203,Merian C. Cooper,USA
204,Francis Ford Coppola,USA
205,Sofia Coppola,USA
206,Roger Corman,USA
207,Alain Corneau,FRA
208,Don Coscarelli,USA
209,George Pan Cosmatos,ITA
210,Pedro Costa,POR
211,Costa-Gavras,GRE
212,Kevin Costner,USA
213,Alex Cox,UK
214,Paul Cox,AUS
215,Wes Craven,USA
216,Charles Crichton,UK
217,Michael Crichton,USA
218,John Cromwell,USA
219,David Cronenberg,CAN
220,Alan Crosland,USA
221,Cameron Crowe,USA
222,Alfonso Cuarón,MEX
223,George Cukor,USA
224,Sean S. Cunningham,USA
225,Richard Curtis,UK
226,Michael Curtiz,USA
227,John Dahl,USA
228,Joe D'Amato,ITA
229,Frank Daniel,CHE
230,Joe Dante,USA
231,Frank Darabont,USA
232,Jules Dassin,FRA
233,Byambasuren Davaa,MON
234,Delmer Daves,USA
235,Claude Goretta,SWI
236,Terence Davies,UK
237,Andrew Davis,USA
238,Tamra Davis,USA
239,Jonathan Dayton,USA
240,Philippe de Broca,FRA
241,Rolf de Heer,AUS
242,Alex De La Iglesia,ESP
243,Jean Delannoy,FRA
244,Roy Del Ruth,USA
245,Guillermo Del Toro,MEX
246,Cecil B. DeMille,USA
247,Jonathan Demme,USA
248,Ted Demme,USA
249,Jacques Demy,FRA
250,Claire Denis,FRA
251,Ruggero Deodato,ITA
252,Brian De Palma,USA
253,Maya Deren,UKR
254,Scott Derrickson,USA
255,Giuseppe de Santis,ITA
256,Vittorio De Sica,ITA
257,Danny DeVito,USA
258,Michel Deville,FRA
259,Carlos Diegues,BRA
260,Walt Disney,USA
261,William Dieterle,GER
262,Djibril Diop Mambety,SEN
263,Edward Dmytryk,USA
264,Jacques Doillon,FRA
265,Andrew Dominik,NZL
266,Roger Donaldson,AUS
267,Stanley Donen,USA
268,Richard Donner,USA
269,Mark Donskoi,RUS
270,Nelson Pereira dos Santos,BRA
271,Aleksandr Dovzhenko,UKR
272,Polly Draper,USA
273,Carl Theodor Dreyer,DEN
274,Troy Duffy,USA
275,Dennis Dugan,USA
276,Bruno Dumont,FRA
277,Ewald André Dupont,GER
278,Marguerite Duras,FRA
279,Richard Dutcher,USA
280,Guru Dutt,IND
281,Julien Duvivier,FRA
282,Yorgos Lanthimos,GRE
283,Allan Dwan,CAN
284,Clint Eastwood,USA
285,Uli Edel,GER
286,Blake Edwards,USA
287,Atom Egoyan,CAN
288,Sergei Eisenstein,RUS
289,Richard Elfman,USA
290,Stephan Elliott,AUS
291,Maurice Elvey,UK
292,Roland Emmerich,GER
293,Cy Endfield,USA
294,Robert Enrico,FRA
295,Nora Ephron,USA
296,Jean Epstein,FRA
297,Victor Erice,ESP
298,Jean Eustache,FRA
299,Marc Evans,UK
300,Chris Eyre,USA
301,Richard Eyre,UK
302,Peter Faiman,AUS
303,Farrelly brothers,USA
304,John Farrow,AUS
305,Rainer Werner Fassbinder,GER
306,Fei Mu,CHI
307,Federico Fellini,ITA
308,Emilio Fernandez,MEX
309,Abel Ferrara,USA
310,Marco Ferreri,ITA
311,Louis Feuillade,FRA
312,Jacques Feyder,BEL
313,Todd Field,USA
314,Mike Figgis,USA
315,David Fincher,USA
316,Terence Fisher,UK
317,Robert J. Flaherty,USA
318,Richard Fleischer,USA
319,Victor Fleming,USA
320,Benedek Fliegauf,HUN
321,John Ford,USA
322,Miloš Forman,CHE
323,Willi Forst,AUT
324,Marc Forster,USA
325,Bill Forsyth,UK
326,Bob Fosse,USA
327,Eytan Fox,ISR
328,Coleman Francis,USA
329,Jesús Franco,ESP
330,Georges Franju,FRA
331,John Frankenheimer,USA
332,Sidney Franklin,USA
333,Stephen Frears,UK
334,Mark Freiburger,USA
335,Fridrik Thor Fridriksson,ICE
336,Lionel Friedberg,USA
337,William Friedkin,USA
338,Su Friedrich,USA
339,Kinji Fukasaku,JAP
340,Lucio Fulci,ITA
341,Sam Fuller,USA
342,Antoine Fuqua,USA
343,Leonid Gaidai,RUS
344,"Harry Gamboa, Jr.",USA
345,Abel Gance,FRA
346,Carla Garapedian,USA
347,Tay Garnett,USA
348,Philippe Garrel,FRA
349,William Garwood,USA
350,Louis J. Gasnier,FRA
351,Tony Gatlif,FRA
352,Nils Gaup,NOR
353,Alexei German,RUS
354,Pietro Germi,ITA
355,Clyde Geronimi,USA
356,Subhash Ghai,IND
357,Ritwik Ghatak,IND
358,Bahman Ghobadi,IRA
359,Mel Gibson,AUS
360,Lewis Gilbert,UK
361,Terry Gilliam,UK
362,Pavel Giroud,CUB
363,Amos Gitai,ISR
364,Jonathan Glazer,UK
365,Theo van Gogh,HOL
366,Jean-Luc Godard,FRA
367,Menahem Golan,ISR
368,Bobcat Goldthwait,USA
369,Michel Gondry,FRA
370,Alejandro González Iñárritu,MEX
371,Adoor Gopalakrishnan,IND
372,Stuart Gordon,USA
373,Hideo Gosha,JAP
374,Edmund Goulding,UK
375,F. Gary Gray,USA
376,David Gordon Green,USA
377,Peter Greenaway,UK
378,Paul Greengrass,UK
379,John Grierson,UK
380,Jean Gremillon,FRA
381,John Greyson,CAN
382,D. W. Griffith,USA
383,Murray Grigor,UK
384,Val Guest,UK
385,John Guillermin,FRA
386,Sacha Guitry,FRA
387,Yilmaz Güney,TUR
388,Hrafn Gunnlaugsson,ICE
389,Alice Guy Blaché,FRA
390,Taylor Hackford,USA
391,Tala Hadid,UK
392,Lucile Hadzihalilovic,FRA
393,Piers Haggard,UK
394,Lasse Hallström,SWE
395,Bent Hamer,NOR
396,Michael Haneke,AUT
397,Curtis Hanson,USA
398,Geir Hansteen Jörgensen,SWE
399,Renny Harlin,FIN
400,Jack Harris,UK
401,Mary Harron,CAN
402,Hal Hartley,USA
403,Herk Harvey,USA
404,Henry Hathaway,USA
405,Howard Hawks,USA
406,Salma Hayek,MEX
407,David Hayman,UK
408,Todd Haynes,USA
409,Brian Helgeland,USA
410,Monte Hellman,USA
411,Frank Henenlotter,USA
412,Jim Henson,USA
413,Perry Henzell,JAM
414,Werner Herzog,GER
415,Jared Hess,USA
416,Jerusha Hess,USA
417,Scott Hicks,AUS
418,Jack Hill,USA
419,George Roy Hill,USA
420,Walter Hill,USA
421,Arthur Hiller,CAN
422,Elaine May,USA
423,Ryuichi Hiroki,JAP
424,Alfred Hitchcock,USA
425,Corneliu Porumboiu,ROM
